 time            V_out           V_in            V_c2           
 3.15280000e-07  5.94092904e-01  1.87321462e-01  4.88988566e+00 
 3.16280000e-07  5.96481203e-01  1.87924941e-01  4.89227426e+00 
 3.17280000e-07  5.98869461e-01  1.88528335e-01  4.89466282e+00 
 3.18280000e-07  6.01257671e-01  1.89131642e-01  4.89705132e+00 
 3.19280000e-07  6.03645829e-01  1.89734863e-01  4.89943978e+00 
 3.20280000e-07  6.06033928e-01  1.90337996e-01  4.90182818e+00 
 3.21280000e-07  6.08421963e-01  1.90941041e-01  4.90421651e+00 
 3.22280000e-07  6.10809929e-01  1.91543997e-01  4.90660478e+00 
 3.23280000e-07  6.13197819e-01  1.92146864e-01  4.90899297e+00 
 3.24280000e-07  6.15585630e-01  1.92749642e-01  4.91138108e+00 
 3.25280000e-07  6.17973355e-01  1.93352329e-01  4.91376911e+00 
 3.26280000e-07  6.20360988e-01  1.93954926e-01  4.91615704e+00 
 3.27280000e-07  6.22748526e-01  1.94557432e-01  4.91854488e+00 
 3.28280000e-07  6.25135962e-01  1.95159846e-01  4.92093262e+00 
 3.29280000e-07  6.27523292e-01  1.95762169e-01  4.92332025e+00 
 3.30280000e-07  6.29910510e-01  1.96364400e-01  4.92570777e+00 
 3.31280000e-07  6.32297611e-01  1.96966540e-01  4.92809517e+00 
 3.32280000e-07  6.34684591e-01  1.97568587e-01  4.93048245e+00 
 3.33280000e-07  6.37071445e-01  1.98170541e-01  4.93286961e+00 
 3.34280000e-07  6.39458167e-01  1.98772403e-01  4.93525663e+00 
 3.35280000e-07  6.41844752e-01  1.99374172e-01  4.93764352e+00 
 3.36280000e-07  6.44231198e-01  1.99975849e-01  4.94003027e+00 
 3.37280000e-07  6.46617497e-01  2.00577432e-01  4.94241687e+00 
 3.38280000e-07  6.49003647e-01  2.01178923e-01  4.94480332e+00 
 3.39280000e-07  6.51389642e-01  2.01780320e-01  4.94718962e+00 
 3.40280000e-07  6.53775478e-01  2.02381624e-01  4.94957576e+00 
 3.41280000e-07  6.56161151e-01  2.02982835e-01  4.95196174e+00 
 3.42280000e-07  6.58546657e-01  2.03583953e-01  4.95434755e+00 
 3.43280000e-07  6.60931990e-01  2.04184978e-01  4.95673319e+00 
 3.44280000e-07  6.63317148e-01  2.04785910e-01  4.95911865e+00 
 3.45280000e-07  6.65702126e-01  2.05386749e-01  4.96150393e+00 
 3.46280000e-07  6.68086920e-01  2.05987494e-01  4.96388903e+00 
 3.47280000e-07  6.70471526e-01  2.06588147e-01  4.96627394e+00 
 3.48280000e-07  6.72855940e-01  2.07188706e-01  4.96865866e+00 
 3.49280000e-07  6.75240159e-01  2.07789173e-01  4.97104319e+00 
 3.50280000e-07  6.77624179e-01  2.08389547e-01  4.97342751e+00 
 3.51280000e-07  6.80007995e-01  2.08989829e-01  4.97581164e+00 
 3.52280000e-07  6.82391606e-01  2.09590017e-01  4.97819555e+00 
 3.53280000e-07  6.84775006e-01  2.10190114e-01  4.98057926e+00 
 3.54280000e-07  6.87158193e-01  2.10790117e-01  4.98296276e+00 
 3.55280000e-07  6.89541163e-01  2.11390028e-01  4.98534603e+00 
 3.56280000e-07  6.91923914e-01  2.11989847e-01  4.98772909e+00 
 3.57280000e-07  6.94306441e-01  2.12589574e-01  4.99011193e+00 
 3.58280000e-07  6.96688741e-01  2.13189208e-01  4.99249453e+00 
